hugo_symbol,ensembl_gene_id_version,ANNOT
CNBP,ENSG00000169714,TSG
CREB3L1,ENSG00000157613,TSG
CTNNA1,ENSG00000044115,TSG
DDX10,ENSG00000178105,TSG
EBF1,ENSG00000164330,TSG
EIF3E,ENSG00000104408,TSG
ELL,ENSG00000105656,TSG
EP300,ENSG00000100393,TSG
EPS15,ENSG00000085832,TSG
ETV6,ENSG00000139083,TSG
EXT1,ENSG00000182197,TSG
FHIT,ENSG00000189283,TSG
FUS,ENSG00000089280,TSG
IKZF1,ENSG00000185811,TSG
KAT6B,ENSG00000156650,TSG
KAT6B,ENSG00000281813,TSG
KNL1,ENSG00000137812,TSG
LRIG3,ENSG00000139263,TSG
MLF1,ENSG00000178053,TSG
MYH9,ENSG00000100345,TSG
NAB2,ENSG00000166886,TSG
NCOA4,ENSG00000266412,TSG
NDRG1,ENSG00000104419,TSG
NF1,ENSG00000196712,TSG
NRG1,ENSG00000157168,TSG
PATZ1,ENSG00000100105,TSG
PER1,ENSG00000179094,TSG
PML,ENSG00000140464,TSG
PPARG,ENSG00000132170,TSG
PTPRK,ENSG00000273993,TSG
PTPRK,ENSG00000152894,TSG
RAD51B,ENSG00000182185,TSG
RANBP2,ENSG00000153201,TSG
RHOH,ENSG00000168421,TSG
RMI2,ENSG00000175643,TSG
RPL22,ENSG00000116251,TSG
RSPO2,ENSG00000147655,TSG
SFPQ,ENSG00000116560,TSG
SLC34A2,ENSG00000157765,TSG
TPM3,ENSG00000143549,TSG
TRIM33,ENSG00000197323,TSG
WIF1,ENSG00000156076,TSG
YWHAE,ENSG00000108953,TSG
YWHAE,ENSG00000274474,TSG
ZBTB16,ENSG00000109906,TSG
ZNF331,ENSG00000130844,TSG
ANK1,ENSG00000029534,AMBI
BCLAF1,ENSG00000029363,AMBI
BMP5,ENSG00000112175,AMBI
CD209,ENSG00000090659,AMBI
CNBD1,ENSG00000176571,AMBI
CRNKL1,ENSG00000101343,AMBI
CTNND1,ENSG00000198561,AMBI
CYP2C8,ENSG00000138115,AMBI
DCAF12L2,ENSG00000198354,AMBI
DCC,ENSG00000187323,AMBI
ECT2L,ENSG00000203734,AMBI
EIF1AX,ENSG00000173674,AMBI
EPHA3,ENSG00000044524,AMBI
EPHA7,ENSG00000135333,AMBI
FAM135B,ENSG00000147724,AMBI
FAM47C,ENSG00000198173,AMBI
FAT3,ENSG00000165323,AMBI
FKBP9,ENSG00000122642,AMBI
FLNA,ENSG00000196924,AMBI
ISX,ENSG00000175329,AMBI
ITGAV,ENSG00000138448,AMBI
MB21D2,ENSG00000180611,AMBI
NBEA,ENSG00000172915,AMBI
PCBP1,ENSG00000169564,AMBI
PRKCB,ENSG00000166501,AMBI
PRPF40B,ENSG00000110844,AMBI
RGPD3,ENSG00000153165,AMBI
RGS7,ENSG00000182901,AMBI
ZNF429,ENSG00000197013,AMBI
ZNF479,ENSG00000185177,AMBI
PMS1,ENSG00000064933,AMBI
POLR2A,ENSG00000284832,AMBI
POLR2A,ENSG00000181222,AMBI
CHEK1,ENSG00000149554,ONCO
DUSP22,ENSG00000112679,ONCO
EPOR,ENSG00000187266,ONCO
FANCL,ENSG00000115392,ONCO
IL3,ENSG00000164399,ONCO
KLF2,ENSG00000127528,ONCO
MEF2B,ENSG00000213999,ONCO
NTRK2,ENSG00000148053,ONCO
RAD51C,ENSG00000108384,ONCO
RAD51D,ENSG00000185379,ONCO
RAD54L,ENSG00000085999,ONCO
RELN,ENSG00000189056,ONCO
TCL1B,ENSG00000213231,ONCO
TYK2,ENSG00000105397,ONCO
ALB,ENSG00000163631,AMBI
ANKRD11,ENSG00000167522,AMBI
ARID5B,ENSG00000150347,AMBI
AXL,ENSG00000167601,AMBI
BCL2L11,ENSG00000153094,AMBI
CD70,ENSG00000125726,AMBI
CDC27,ENSG00000004897,AMBI
CDKN2B,ENSG00000147883,AMBI
CHD1,ENSG00000153922,AMBI
CHD3,ENSG00000170004,AMBI
COL5A1,ENSG00000130635,AMBI
COMT,ENSG00000093010,AMBI
CSDE1,ENSG00000009307,AMBI
CSMD1,ENSG00000183117,AMBI
CTLA4,ENSG00000163599,AMBI
CYP2D6,ENSG00000283284,AMBI
CYP2D6,ENSG00000272532,AMBI
CYP2D6,ENSG00000280905,AMBI
CYP2D6,ENSG00000282966,AMBI
CYP2D6,ENSG00000275211,AMBI
CYP2D6,ENSG00000100197,AMBI
DIS3,ENSG00000083520,AMBI
DNMT1,ENSG00000130816,AMBI
DNMT3B,ENSG00000088305,AMBI
DPYD,ENSG00000188641,AMBI
EPCAM,ENSG00000119888,AMBI
EPHB1,ENSG00000154928,AMBI
ERRFI1,ENSG00000116285,AMBI
FANCM,ENSG00000187790,AMBI
GABRA6,ENSG00000145863,AMBI
GNA13,ENSG00000120063,AMBI
GPS2,ENSG00000288325,AMBI
GPS2,ENSG00000132522,AMBI
GREM1,ENSG00000282046,AMBI
GREM1,ENSG00000276886,AMBI
GREM1,ENSG00000166923,AMBI
GSK3B,ENSG00000082701,AMBI
GTF2I,ENSG00000263001,AMBI
HGF,ENSG00000019991,AMBI
HLA-B,ENSG00000228964,AMBI
HLA-B,ENSG00000224608,AMBI
HLA-B,ENSG00000232126,AMBI
HLA-B,ENSG00000223532,AMBI
HLA-B,ENSG00000206450,AMBI
HLA-B,ENSG00000234745,AMBI
HLA-C,ENSG00000206452,AMBI
HLA-C,ENSG00000237022,AMBI
HLA-C,ENSG00000233841,AMBI
HLA-C,ENSG00000225691,AMBI
HLA-C,ENSG00000204525,AMBI
HLA-C,ENSG00000228299,AMBI
HLA-C,ENSG00000206435,AMBI
HOXB13,ENSG00000159184,AMBI
HSD3B1,ENSG00000203857,AMBI
IGF1R,ENSG00000140443,AMBI
INPPL1,ENSG00000165458,AMBI
INTS4,ENSG00000149262,AMBI
IRF2,ENSG00000168310,AMBI
IRS2,ENSG00000185950,AMBI
KEL,ENSG00000197993,AMBI
KEL,ENSG00000276615,AMBI
KMT2B,ENSG00000272333,AMBI
MCL1,ENSG00000143384,AMBI
MDC1,ENSG00000206481,AMBI
MDC1,ENSG00000225589,AMBI
MDC1,ENSG00000137337,AMBI
MDC1,ENSG00000231135,AMBI
MDC1,ENSG00000234012,AMBI
MDC1,ENSG00000228575,AMBI
MDC1,ENSG00000237095,AMBI
MDC1,ENSG00000224587,AMBI
MGA,ENSG00000174197,AMBI
MLH3,ENSG00000119684,AMBI
MRE11,ENSG00000020922,AMBI
MSH3,ENSG00000113318,AMBI
MST1,ENSG00000173531,AMBI
NCOA3,ENSG00000124151,AMBI
NKX3-1,ENSG00000167034,AMBI
NQO1,ENSG00000181019,AMBI
NUP93,ENSG00000102900,AMBI
PARP1,ENSG00000143799,AMBI
PDCD1,ENSG00000188389,AMBI
PDCD1,ENSG00000276977,AMBI
PDE4D,ENSG00000113448,AMBI
PDPK1,ENSG00000140992,AMBI
PGR,ENSG00000082175,AMBI
PIK3CD,ENSG00000171608,AMBI
PIK3CG,ENSG00000105851,AMBI
PIK3R2,ENSG00000105647,AMBI
PLCB4,ENSG00000101333,AMBI
PLK2,ENSG00000145632,AMBI
PPP4R2,ENSG00000163605,AMBI
PRDM14,ENSG00000147596,AMBI
PRKCI,ENSG00000163558,AMBI
PRSS1,ENSG00000274247,AMBI
PRSS1,ENSG00000204983,AMBI
PTPRS,ENSG00000105426,AMBI
RAD50,ENSG00000113522,AMBI
RAD51,ENSG00000051180,AMBI
RAD52,ENSG00000002016,AMBI
RASA1,ENSG00000145715,AMBI
RECQL,ENSG00000004700,AMBI
RHEB,ENSG00000106615,AMBI
RICTOR,ENSG00000164327,AMBI
RIT1,ENSG00000143622,AMBI
RPS6KA4,ENSG00000162302,AMBI
RPTOR,ENSG00000141564,AMBI
RRAS2,ENSG00000133818,AMBI
RXRA,ENSG00000186350,AMBI
SESN2,ENSG00000130766,AMBI
SESN2,ENSG00000285069,AMBI
SKP2,ENSG00000145604,AMBI
SMARCA1,ENSG00000102038,AMBI
SMC3,ENSG00000108055,AMBI
SOS1,ENSG00000115904,AMBI
SOX17,ENSG00000164736,AMBI
SOX9,ENSG00000125398,AMBI
SPRED1,ENSG00000166068,AMBI
SPTA1,ENSG00000163554,AMBI
STK19,ENSG00000204344,AMBI
STK19,ENSG00000206342,AMBI
STK19,ENSG00000234947,AMBI
STK19,ENSG00000236250,AMBI
STK19,ENSG00000226033,AMBI
STK19,ENSG00000226257,AMBI
TAF1,ENSG00000147133,AMBI
TGFBR1,ENSG00000106799,AMBI
TLR4,ENSG00000136869,AMBI
TPMT,ENSG00000137364,AMBI
TRAF3,ENSG00000131323,AMBI
UGT1A1,ENSG00000241635,AMBI
WWOX,ENSG00000186153,AMBI
